user,testType,position,trialNumber,correctAnswer,userAnswer,ansQualifier,value,reversal
Charlie,ILD,Front,1,1,1,1,1,1
Charlie,ILD,Front,2,2,1,0,1,2
Charlie,ILD,Front,3,2,2,1,1,3
Charlie,ILD,Front,4,2,2,1,1,3
Charlie,ILD,Front,5,2,2,1,0.5,3
Charlie,ILD,Front,6,2,2,1,0.5,3
Charlie,ILD,Front,7,1,1,1,0.25,3
Charlie,ILD,Front,8,1,1,1,0.25,3
Charlie,ILD,Front,9,2,1,0,0.125,4
Charlie,ILD,Front,10,1,1,1,0.25,5
Charlie,ILD,Front Right,1,2,2,1,1,0
Charlie,ILD,Front Right,2,1,1,1,1,0
Charlie,ILD,Front Right,3,1,1,1,0.5,0
Charlie,ILD,Front Right,4,1,1,1,0.5,0
Charlie,ILD,Front Right,5,1,1,1,0.25,0
Charlie,ILD,Front Right,6,2,1,0,0.25,1
Charlie,ILD,Front Right,7,2,2,1,0.5,2
Charlie,ILD,Front Right,8,1,1,1,0.5,2
Charlie,ILD,Front Right,9,1,1,1,0.25,2
Charlie,ILD,Front Right,10,1,2,0,0.25,3
Charlie,ILD,Front Right,11,1,1,1,0.5,4
Charlie,ILD,Front Right,12,2,2,1,0.5,4
Charlie,ILD,Front Right,13,1,2,0,0.25,5
Charlie,ILD,Right,1,2,1,0,1,0
Charlie,ILD,Right,2,2,2,1,1,1
Charlie,ILD,Right,3,1,2,0,1,2
Charlie,ILD,Right,4,1,1,1,1,3
Charlie,ILD,Right,5,2,2,1,1,3
Charlie,ILD,Right,6,2,2,1,0.5,3
Charlie,ILD,Right,7,1,2,0,0.5,4
Charlie,ILD,Right,8,2,2,1,1,5
Charlie,ILD,Back Right,1,1,1,1,1,0
Charlie,ILD,Back Right,2,1,1,1,1,0
Charlie,ILD,Back Right,3,1,1,1,0.5,0
Charlie,ILD,Back Right,4,1,1,1,0.5,0
Charlie,ILD,Back Right,5,1,1,1,0.25,0
Charlie,ILD,Back Right,6,2,1,0,0.25,1
Charlie,ILD,Back Right,7,1,1,1,0.5,2
Charlie,ILD,Back Right,8,2,2,1,0.5,2
Charlie,ILD,Back Right,9,1,1,1,0.25,2
Charlie,ILD,Back Right,10,1,2,0,0.25,3
Charlie,ILD,Back Right,11,2,2,1,0.5,4
Charlie,ILD,Back Right,12,1,1,1,0.5,4
Charlie,ILD,Back Right,13,2,2,1,0.25,4
Charlie,ILD,Back Right,14,1,1,1,0.25,4
Charlie,ILD,Back Right,15,1,1,1,0.125,4
Charlie,ILD,Back Right,16,1,1,1,0.125,4
Charlie,ILD,Back Right,17,2,1,0,0.0625,5
Charlie,ILD,Back,1,2,1,0,1,0
Charlie,ILD,Back,2,2,1,0,1,0
Charlie,ILD,Back,3,2,1,0,1,0
Charlie,ILD,Back,4,2,2,1,1,1
Charlie,ILD,Back,5,2,2,1,1,1
Charlie,ILD,Back,6,1,1,1,0.5,1
Charlie,ILD,Back,7,2,1,0,0.5,2
Charlie,ILD,Back,8,2,2,1,1,3
