user,testType,position,trialNumber,correctAnswer,userAnswer,ansQualifier,value,reversal
Jaun,ITD,Front,1,1,1,1,100,1
Jaun,ITD,Front,2,1,1,1,100,1
Jaun,ITD,Front,3,2,2,1,50,1
Jaun,ITD,Front,4,2,2,1,50,1
Jaun,ITD,Front,5,2,2,1,25,1
Jaun,ITD,Front,6,2,2,1,25,1
Jaun,ITD,Front,7,2,2,1,12,1
Jaun,ITD,Front,8,1,1,1,12,1
Jaun,ITD,Front,9,1,2,0,6,2
Jaun,ITD,Front,10,2,2,1,12,3
Jaun,ITD,Front,11,1,1,1,12,3
Jaun,ITD,Front,12,2,2,1,6,3
Jaun,ITD,Front,13,2,1,0,6,4
Jaun,ITD,Front,14,1,1,1,12,5
Jaun,ILD,Front,1,1,1,1,100,0
Jaun,ILD,Front,2,1,1,1,100,0
Jaun,ILD,Front,3,2,2,1,50,0
Jaun,ILD,Front,4,2,2,1,50,0
Jaun,ILD,Front,5,1,1,1,25,0
Jaun,ILD,Front,6,1,1,1,25,0
Jaun,ILD,Front,7,1,2,0,12,1
Jaun,ILD,Front,8,1,1,1,24,2
Jaun,ILD,Front,9,2,2,1,24,2
Jaun,ILD,Front,10,1,2,0,12,3
Jaun,ILD,Front,11,1,1,1,24,4
Jaun,ILD,Front,12,2,2,1,24,4
Jaun,ILD,Front,13,2,2,1,12,4
Jaun,ILD,Front,14,1,2,0,12,5
