user,testType,position,trialNumber,correctAnswer,userAnswer,ansQualifier,value,reversal
Juan,ILD,Front,1,1,1,1,1,1
Juan,ILD,Front,2,1,1,1,1,1
Juan,ILD,Front,3,2,2,1,0.5,1
Juan,ILD,Front,4,2,2,1,0.5,1
Juan,ILD,Front,5,2,2,1,0.25,1
Juan,ILD,Front,6,2,2,1,0.25,1
Juan,ILD,Front,7,2,2,1,0.125,1
Juan,ILD,Front,8,1,1,1,0.125,1
Juan,ILD,Front,9,1,2,0,0.0625,2
Juan,ILD,Front,10,2,2,1,0.125,3
Juan,ILD,Front,11,1,2,0,0.125,4
Juan,ILD,Front,12,2,2,1,0.25,5
Juan,ILD,Front,1,1,1,1,1,0
Juan,ILD,Front,2,1,1,1,1,0
Juan,ILD,Front,3,1,1,1,0.5,0
Juan,ILD,Front,4,1,1,1,0.5,0
Juan,ILD,Front,5,2,2,1,0.25,0
Juan,ILD,Front,6,2,2,1,0.25,0
Juan,ILD,Front,7,1,1,1,0.125,0
Juan,ILD,Front,8,1,1,1,0.125,0
Juan,ILD,Front,9,1,2,0,0.0625,1
Juan,ILD,Front,10,1,1,1,0.125,2
Juan,ILD,Front,11,2,2,1,0.125,2
Juan,ILD,Front,12,1,2,0,0.0625,3
Juan,ILD,Front,13,1,1,1,0.125,4
Juan,ILD,Front,14,2,2,1,0.125,4
Juan,ILD,Front,15,2,2,1,0.0625,4
Juan,ILD,Front,16,1,1,1,0.0625,4
Juan,ILD,Front,17,1,1,1,0.0312499,4
Juan,ILD,Front,18,2,2,1,0.0312499,4
Juan,ILD,Front,19,2,2,1,0.015625,4
Juan,ILD,Front,20,1,1,1,0.015625,4
Juan,ILD,Front,21,2,2,1,0.0078125,4
Juan,ILD,Front,22,1,1,1,0.0078125,4
Juan,ILD,Front,23,1,1,1,0.00390625,4
Juan,ILD,Front,24,1,1,1,0.00390625,4
Juan,ILD,Front,25,1,1,1,0.00195312,4
Juan,ILD,Front,26,1,1,1,0.00195312,4
Juan,ILD,Front,27,1,1,1,0.000976503,4
Juan,ILD,Front,28,2,1,0,0.000976503,5
Juan,ILD,Front Right,1,2,1,0,1,0
Juan,ILD,Front Right,2,1,1,1,1,1
Juan,ILD,Front Right,3,1,1,1,1,1
Juan,ILD,Front Right,4,2,2,1,0.5,1
Juan,ILD,Front Right,5,1,1,1,0.5,1
Juan,ILD,Front Right,6,2,1,0,0.25,2
Juan,ILD,Front Right,7,1,1,1,0.5,3
Juan,ILD,Front Right,8,1,1,1,0.5,3
Juan,ILD,Front Right,9,1,1,1,0.25,3
Juan,ILD,Front Right,10,2,2,1,0.25,3
Juan,ILD,Front Right,11,2,2,1,0.125,3
Juan,ILD,Front Right,12,2,2,1,0.125,3
Juan,ILD,Front Right,13,2,2,1,0.0625,3
Juan,ILD,Front Right,14,2,2,1,0.0625,3
Juan,ILD,Front Right,15,2,2,1,0.0312499,3
Juan,ILD,Front Right,16,2,2,1,0.0312499,3
Juan,ILD,Front Right,17,1,2,0,0.015625,4
Juan,ILD,Front Right,18,2,2,1,0.0312499,5
Juan,ILD,Right,1,1,1,1,1,0
Juan,ILD,Right,2,2,2,1,1,0
Juan,ILD,Right,3,1,1,1,0.5,0
Juan,ILD,Right,4,1,1,1,0.5,0
Juan,ILD,Right,5,1,2,0,0.25,1
Juan,ILD,Right,6,2,2,1,0.5,2
Juan,ILD,Right,7,2,2,1,0.5,2
Juan,ILD,Right,8,1,1,1,0.25,2
