user,testType,position,trialNumber,correctAnswer,userAnswer,ansQualifier,value,reversal
Rahul ,ILD,Front,1,1,1,1,1,1
Rahul ,ILD,Front,2,1,1,1,1,1
Rahul ,ILD,Front,3,2,2,1,0.5,1
Rahul ,ILD,Front,4,2,2,1,0.5,1
Rahul ,ILD,Front,5,2,2,1,0.25,1
Rahul ,ILD,Front,6,2,2,1,0.25,1
Rahul ,ILD,Front,7,2,2,1,0.125,1
Rahul ,ILD,Front,8,1,1,1,0.125,1
Rahul ,ILD,Front,9,1,1,1,0.0625,1
Rahul ,ILD,Front,10,2,2,1,0.0625,1
Rahul ,ILD,Front,11,1,1,1,0.0312499,1
Rahul ,ILD,Front,12,2,2,1,0.0312499,1
Rahul ,ILD,Front,13,2,2,1,0.015625,1
Rahul ,ILD,Front,14,1,1,1,0.015625,1
Rahul ,ILD,Front,15,1,1,1,0.0078125,1
Rahul ,ILD,Front,16,1,2,0,0.0078125,2
Rahul ,ILD,Front,17,1,1,1,0.015625,3
Rahul ,ILD,Front,18,2,1,0,0.015625,4
Rahul ,ILD,Front,19,2,2,1,0.0312499,5
Rahul ,ILD,Front Right,1,1,1,1,1,0
Rahul ,ILD,Front Right,2,1,1,1,1,0
Rahul ,ILD,Front Right,3,1,1,1,0.5,0
Rahul ,ILD,Front Right,4,2,2,1,0.5,0
Rahul ,ILD,Front Right,5,1,2,0,0.25,1
Rahul ,ILD,Front Right,6,1,1,1,0.5,2
Rahul ,ILD,Front Right,7,2,2,1,0.5,2
Rahul ,ILD,Front Right,8,2,2,1,0.25,2
Rahul ,ILD,Front Right,9,1,2,0,0.25,3
Rahul ,ILD,Front Right,10,1,1,1,0.5,4
Rahul ,ILD,Front Right,11,2,2,1,0.5,4
Rahul ,ILD,Front Right,12,2,2,1,0.25,4
Rahul ,ILD,Front Right,13,1,1,1,0.25,4
Rahul ,ILD,Front Right,14,2,2,1,0.125,4
Rahul ,ILD,Front Right,15,1,2,0,0.125,5
Rahul ,ILD,Right,1,1,1,1,1,1
