user,testType,position,trialNumber,correctAnswer,userAnswer,ansQualifier,value,reversal
Tysen,ITD,Front,1,1,1,1,100,1
Tysen,ITD,Front,2,1,1,1,100,1
Tysen,ITD,Front,3,1,1,1,50,1
Tysen,ITD,Front,4,2,1,0,50,2
Tysen,ITD,Front,5,1,1,1,100,3
Tysen,ITD,Front,6,1,1,1,100,3
Tysen,ITD,Front,7,2,1,0,50,4
Tysen,ITD,Front,8,2,1,0,100,4
Tysen,ITD,Front,9,1,1,1,200,5
Tysen,ILD,Front Right,1,2,2,1,100,0
Tysen,ILD,Front Right,2,2,1,0,100,1
Tysen,ILD,Front Right,3,1,2,0,200,1
Tysen,ILD,Front Right,4,2,1,0,400,1
Tysen,ILD,Front Right,5,1,2,0,800,1
Tysen,ILD,Front Right,6,1,2,0,1024,1
Tysen,ILD,Front Right,7,1,2,0,1024,1
Tysen,ILD,Front Right,8,1,2,0,1024,1
Tysen,ILD,Front Right,9,1,2,0,1024,1
Tysen,ILD,Front Right,10,1,1,1,1024,2
Tysen,ILD,Front Right,11,2,1,0,1024,3
Tysen,ILD,Front Right,12,1,1,1,1024,4
Tysen,ILD,Front Right,13,2,2,1,1024,4
Tysen,ILD,Front Right,14,1,2,0,512,5
Tysen,ILD,Right,1,2,2,1,100,1
Tysen,ILD,Right,2,1,1,1,100,1
Tysen,ILD,Right,3,2,2,1,50,1
Tysen,ILD,Right,4,1,2,0,50,2
Tysen,ILD,Right,5,1,1,1,100,3
Tysen,ILD,Right,6,1,1,1,100,3
Tysen,ILD,Right,7,2,2,1,50,3
Tysen,ILD,Right,8,2,2,1,50,3
Tysen,ILD,Right,9,2,2,1,25,3
Tysen,ILD,Right,10,2,1,0,25,4
Tysen,ILD,Right,11,2,2,1,50,5
Tysen,ILD,Back Right,1,2,2,1,100,0
Tysen,ILD,Back Right,2,1,1,1,100,0
Tysen,ILD,Back Right,3,2,2,1,50,0
Tysen,ILD,Back Right,4,2,2,1,50,0
Tysen,ILD,Back Right,5,1,1,1,25,0
Tysen,ILD,Back Right,6,2,2,1,25,0
Tysen,ILD,Back Right,7,1,2,0,12,1
Tysen,ILD,Back Right,8,1,1,1,24,2
Tysen,ILD,Back Right,9,1,1,1,24,2
Tysen,ILD,Back Right,10,2,2,1,12,2
Tysen,ILD,Back Right,11,2,2,1,12,2
Tysen,ILD,Back Right,12,1,1,1,6,2
Tysen,ILD,Back Right,13,2,2,1,6,2
Tysen,ILD,Back Right,14,1,1,1,3,2
Tysen,ILD,Back Right,15,1,1,1,3,2
Tysen,ILD,Back Right,16,1,1,1,1,2
Tysen,ILD,Back Right,17,1,1,1,1,2
Tysen,ILD,Back Right,18,2,1,0,1,3
Tysen,ILD,Back Right,19,1,1,1,2,4
Tysen,ILD,Back Right,20,2,1,0,2,5
Tysen,ILD,Back,1,1,2,0,100,0
Tysen,ILD,Back,2,1,1,1,200,1
Tysen,ILD,Back,3,2,2,1,200,1
Tysen,ILD,Back,4,1,1,1,100,1
Tysen,ILD,Back,5,1,1,1,100,1
Tysen,ILD,Back,6,1,1,1,50,1
Tysen,ILD,Back,7,1,1,1,50,1
Tysen,ILD,Back,8,1,1,1,25,1
Tysen,ILD,Back,9,2,2,1,25,1
Tysen,ILD,Back,10,1,1,1,12,1
Tysen,ILD,Back,11,2,1,0,12,2
Tysen,ILD,Back,12,2,2,1,24,3
Tysen,ILD,Back,13,1,1,1,24,3
Tysen,ILD,Back,14,1,1,1,12,3
Tysen,ILD,Back,15,2,2,1,12,3
Tysen,ILD,Back,16,2,2,1,6,3
Tysen,ILD,Back,17,2,2,1,6,3
Tysen,ILD,Back,18,2,2,1,3,3
Tysen,ILD,Back,19,1,2,0,3,4
Tysen,ILD,Back,20,2,2,1,6,5
Tysen,ILD,Front,1,1,1,1,1,0
Tysen,ILD,Front,2,1,1,1,1,0
Tysen,ILD,Front,3,1,1,1,0.5,0
Tysen,ILD,Front,4,2,2,1,0.5,0
Tysen,ILD,Front,5,1,1,1,0.25,0
Tysen,ILD,Front,6,2,1,0,0.25,1
Tysen,ILD,Front,7,1,1,1,0.5,2
Tysen,ILD,Front,8,1,1,1,0.5,2
Tysen,ILD,Front,9,2,2,1,0.25,2
Tysen,ILD,Front,10,2,1,0,0.25,3
Tysen,ILD,Front,11,1,1,1,0.5,4
Tysen,ILD,Front,12,1,1,1,0.5,4
Tysen,ILD,Front,13,1,1,1,0.25,4
Tysen,ILD,Front,14,1,1,1,0.25,4
Tysen,ILD,Front,15,1,1,1,0.125,4
Tysen,ILD,Front,16,2,2,1,0.125,4
Tysen,ILD,Front,17,2,2,1,0.0625,4
Tysen,ILD,Front,18,1,1,1,0.0625,4
Tysen,ILD,Front,19,2,1,0,0.0312499,5
Tysen,ILD,Front Right,1,2,1,0,1,0
