user,testType,position,trialNumber,correctAnswer,userAnswer,ansQualifier,value,reversal
WD,ILD,Front,1,1,1,1,1,1
WD,ILD,Front,2,1,1,1,1,1
WD,ILD,Front,3,2,2,1,0.5,1
WD,ILD,Front,4,2,2,1,0.5,1
WD,ILD,Front,5,2,2,1,0.25,1
WD,ILD,Front,6,2,2,1,0.25,1
WD,ILD,Front,7,2,1,0,0.125,2
WD,ILD,Front,8,1,1,1,0.25,3
WD,ILD,Front,9,1,1,1,0.25,3
WD,ILD,Front,10,2,2,1,0.125,3
WD,ILD,Front,11,1,1,1,0.125,3
WD,ILD,Front,12,2,1,0,0.0625,4
WD,ILD,Front,13,2,2,1,0.125,5
WD,ILD,Front Right,1,1,1,1,1,0
WD,ILD,Front Right,2,1,1,1,1,0
WD,ILD,Front Right,3,1,1,1,0.5,0
WD,ILD,Front Right,4,2,2,1,0.5,0
WD,ILD,Front Right,5,2,1,0,0.25,1
WD,ILD,Front Right,6,1,1,1,0.5,2
WD,ILD,Front Right,7,1,1,1,0.5,2
WD,ILD,Front Right,8,1,2,0,0.25,3
WD,ILD,Front Right,9,1,1,1,0.5,4
WD,ILD,Front Right,10,2,2,1,0.5,4
WD,ILD,Front Right,11,1,1,1,0.25,4
WD,ILD,Front Right,12,1,1,1,0.25,4
WD,ILD,Front Right,13,2,1,0,0.125,5
WD,ILD,Right,1,1,1,1,1,1
WD,ILD,Right,2,1,1,1,1,1
WD,ILD,Right,3,2,2,1,0.5,1
WD,ILD,Right,4,2,1,0,0.5,2
WD,ILD,Right,5,1,1,1,1,3
WD,ILD,Right,6,2,2,1,1,3
WD,ILD,Right,7,1,1,1,0.5,3
WD,ILD,Right,8,1,1,1,0.5,3
WD,ILD,Right,9,1,1,1,0.25,3
WD,ILD,Right,10,1,1,1,0.25,3
WD,ILD,Right,11,1,1,1,0.125,3
WD,ILD,Right,12,1,1,1,0.125,3
WD,ILD,Right,13,2,2,1,0.0625,3
WD,ILD,Right,14,1,2,0,0.0625,4
WD,ILD,Right,15,2,1,0,0.125,4
WD,ILD,Right,16,1,1,1,0.25,5
WD,ILD,Back Right,1,2,1,0,1,1
WD,ILD,Back Right,2,1,1,1,1,2
WD,ILD,Back Right,3,2,2,1,1,2
WD,ILD,Back Right,4,1,1,1,0.5,2
WD,ILD,Back Right,5,1,1,1,0.5,2
WD,ILD,Back Right,6,1,2,0,0.25,3
WD,ILD,Back Right,7,2,2,1,0.5,4
WD,ILD,Back Right,8,2,2,1,0.5,4
WD,ILD,Back Right,9,2,2,1,0.25,4
WD,ILD,Back Right,10,2,2,1,0.25,4
WD,ILD,Back Right,11,2,2,1,0.125,4
WD,ILD,Back Right,12,2,2,1,0.125,4
WD,ILD,Back Right,13,2,2,1,0.0625,4
WD,ILD,Back Right,14,1,2,0,0.0625,5
WD,ILD,Back,1,2,2,1,1,1
WD,ILD,Back,2,1,1,1,1,1
WD,ILD,Back,3,2,2,1,0.5,1
WD,ILD,Back,4,1,1,1,0.5,1
WD,ILD,Back,5,1,1,1,0.25,1
WD,ILD,Back,6,1,1,1,0.25,1
WD,ILD,Back,7,2,2,1,0.125,1
WD,ILD,Back,8,2,1,0,0.125,2
WD,ILD,Back,9,1,1,1,0.25,3
WD,ILD,Back,10,2,2,1,0.25,3
WD,ILD,Back,11,1,1,1,0.125,3
WD,ILD,Back,12,1,2,0,0.125,4
WD,ILD,Back,13,1,1,1,0.25,5
WD,ITD,Front,1,2,2,1,100,0
WD,ITD,Front,2,1,1,1,100,0
WD,ITD,Front,3,2,2,1,50,0
WD,ITD,Front,4,1,1,1,50,0
WD,ITD,Front,5,1,1,1,25,0
WD,ITD,Front,6,1,1,1,25,0
WD,ITD,Front,7,2,1,0,12,1
WD,ITD,Front,8,1,1,1,24,2
WD,ITD,Front,9,1,1,1,24,2
WD,ITD,Front,10,1,2,0,12,3
WD,ITD,Front,11,1,1,1,24,4
WD,ITD,Front,12,1,1,1,24,4
WD,ITD,Front,13,2,1,0,12,5
WD,ILD,Front Right,1,2,2,1,100,1
