user,testType,position,trialNumber,correctAnswer,userAnswer,ansQualifier,value,reversal
ya,ILD,Front,1,1,1,1,1,1
ya,ILD,Front,2,1,1,1,1,1
ya,ILD,Front,3,2,2,1,0.5,1
ya,ILD,Front,4,2,2,1,0.5,1
ya,ILD,Front,5,2,2,1,0.25,1
ya,ILD,Front,6,2,2,1,0.25,1
ya,ILD,Front,7,2,2,1,0.125,1
ya,ILD,Front,8,1,1,1,0.125,1
ya,ILD,Front,9,1,1,1,0.0625,1
ya,ILD,Front,10,2,2,1,0.0625,1
ya,ILD,Front,11,1,2,0,0.0312499,2
ya,ILD,Front,12,2,1,0,0.0624999,2
ya,ILD,Front,13,2,2,1,0.125,3
ya,ILD,Front,14,1,1,1,0.125,3
ya,ILD,Front,15,1,1,1,0.0624999,3
ya,ILD,Front,16,1,2,0,0.0624999,4
ya,ILD,Front,17,1,2,0,0.125,4
ya,ILD,Front,18,2,2,1,0.25,5
ya,ILD,Front Right,1,1,1,1,1,0
ya,ILD,Front Right,2,1,1,1,1,0
ya,ILD,Front Right,3,1,2,0,0.5,1
ya,ILD,Front Right,4,1,1,1,1,2
ya,ILD,Front Right,5,2,1,0,1,3
ya,ILD,Front Right,6,1,1,1,1,4
ya,ILD,Front Right,7,1,2,0,1,5
ya,ILD,Right,1,2,1,0,1,0
ya,ILD,Right,2,1,2,0,1,0
ya,ILD,Right,3,1,2,0,1,0
ya,ILD,Right,4,2,2,1,1,1
ya,ILD,Right,5,2,2,1,1,1
ya,ILD,Right,6,1,1,1,0.5,1
ya,ILD,Right,7,2,2,1,0.5,1
ya,ILD,Right,8,1,2,0,0.25,2
ya,ILD,Right,9,1,1,1,0.5,3
ya,ILD,Right,10,1,2,0,0.5,4
ya,ILD,Right,11,1,1,1,1,5
ya,ILD,Back Right,1,1,1,1,1,0
ya,ILD,Back Right,2,2,2,1,1,0
ya,ILD,Back Right,3,1,1,1,0.5,0
ya,ILD,Back Right,4,2,1,0,0.5,1
ya,ILD,Back Right,5,1,1,1,1,2
ya,ILD,Back Right,6,1,1,1,1,2
ya,ILD,Back Right,7,2,2,1,0.5,2
ya,ILD,Back Right,8,1,1,1,0.5,2
ya,ILD,Back Right,9,2,2,1,0.25,2
ya,ILD,Back Right,10,1,1,1,0.25,2
ya,ILD,Back Right,11,1,1,1,0.125,2
ya,ILD,Back Right,12,1,1,1,0.125,2
ya,ILD,Back Right,13,2,1,0,0.0625,3
ya,ILD,Back Right,14,2,1,0,0.125,3
ya,ILD,Back Right,15,2,2,1,0.25,4
ya,ILD,Back Right,16,2,2,1,0.25,4
ya,ILD,Back Right,17,2,1,0,0.125,5
ya,ILD,Back,1,2,2,1,1,1
ya,ILD,Back,2,2,2,1,1,1
ya,ILD,Back,3,1,1,1,0.5,1
ya,ILD,Back,4,2,2,1,0.5,1
ya,ILD,Back,5,1,2,0,0.25,2
ya,ILD,Back,6,1,2,0,0.5,2
ya,ILD,Back,7,1,1,1,1,3
ya,ILD,Back,8,2,2,1,1,3
ya,ILD,Back,9,2,2,1,0.5,3
ya,ILD,Back,10,1,1,1,0.5,3
ya,ILD,Back,11,2,2,1,0.25,3
ya,ILD,Back,12,1,1,1,0.25,3
ya,ILD,Back,13,1,2,0,0.125,4
ya,ILD,Back,14,1,1,1,0.25,5
ya,ITD,Front,1,2,2,1,100,0
ya,ITD,Front,2,1,1,1,100,0
ya,ITD,Front,3,2,2,1,50,0
ya,ITD,Front,4,1,1,1,50,0
ya,ITD,Front,5,1,1,1,25,0
ya,ITD,Front,6,1,1,1,25,0
ya,ITD,Front,7,2,1,0,12,1
ya,ITD,Front,8,1,2,0,24,1
ya,ITD,Front,9,1,1,1,48,2
ya,ITD,Front,10,1,1,1,48,2
ya,ITD,Front,11,1,1,1,24,2
ya,ITD,Front,12,1,1,1,24,2
ya,ITD,Front,13,2,2,1,12,2
ya,ITD,Front,14,1,2,0,12,3
ya,ITD,Front,15,2,2,1,24,4
ya,ITD,Front,16,2,2,1,24,4
ya,ITD,Front,17,1,2,0,12,5
ya,ITD,Front Right,1,2,1,0,100,0
ya,ITD,Front Right,2,2,1,0,200,0
ya,ITD,Front Right,3,2,1,0,400,0
ya,ITD,Front Right,4,2,1,0,800,0
ya,ITD,Front Right,5,1,1,1,1024,1
ya,ITD,Front Right,6,2,1,0,1024,2
ya,ITD,Front Right,7,2,1,0,1024,2
ya,ITD,Front Right,8,1,1,1,1024,3
ya,ITD,Front Right,9,1,2,0,1024,4
ya,ITD,Front Right,10,1,2,0,1024,4
ya,ITD,Front Right,11,2,1,0,1024,4
ya,ITD,Front Right,12,1,1,1,1024,5
ya,ITD,Right,1,1,2,0,100,1
ya,ITD,Right,2,1,1,1,200,2
ya,ITD,Right,3,2,2,1,200,2
ya,ITD,Right,4,2,1,0,100,3
ya,ITD,Right,5,1,1,1,200,4
ya,ITD,Right,6,1,1,1,200,4
ya,ITD,Right,7,1,2,0,100,5
ya,ITD,Back Right,1,1,1,1,100,1
ya,ITD,Back Right,2,2,2,1,100,1
ya,ITD,Back Right,3,2,2,1,50,1
ya,ITD,Back Right,4,1,1,1,50,1
ya,ITD,Back Right,5,2,2,1,25,1
ya,ITD,Back Right,6,2,1,0,25,2
ya,ITD,Back Right,7,2,1,0,50,2
ya,ITD,Back Right,8,1,1,1,100,3
ya,ITD,Back Right,9,2,2,1,100,3
ya,ITD,Back Right,10,2,2,1,50,3
ya,ITD,Back Right,11,1,1,1,50,3
ya,ITD,Back Right,12,2,2,1,25,3
ya,ITD,Back Right,13,1,1,1,25,3
ya,ITD,Back Right,14,2,2,1,12,3
ya,ITD,Back Right,15,2,2,1,12,3
ya,ITD,Back Right,16,2,1,0,6,4
ya,ITD,Back Right,17,2,1,0,12,4
ya,ITD,Back Right,18,1,1,1,24,5
ya,ITD,Back,1,2,2,1,100,0
ya,ITD,Back,2,1,1,1,100,0
ya,ITD,Back,3,1,1,1,50,0
ya,ITD,Back,4,1,1,1,50,0
ya,ITD,Back,5,2,2,1,25,0
ya,ITD,Back,6,1,1,1,25,0
ya,ITD,Back,7,1,2,0,12,1
ya,ITD,Back,8,2,2,1,24,2
ya,ITD,Back,9,1,1,1,24,2
ya,ITD,Back,10,2,2,1,12,2
ya,ITD,Back,11,1,1,1,12,2
ya,ITD,Back,12,2,1,0,6,3
ya,ITD,Back,13,2,1,0,12,3
ya,ITD,Back,14,2,2,1,24,4
ya,ITD,Back,15,1,1,1,24,4
ya,ITD,Back,16,1,2,0,12,5
